family,branch,branch_label,step,source_key,source_structure_id,source_ev,expected_top,top_label,top_projection_kind,top_structure_id,top_memory_id,top_delta_ev,target_count,memory_target_count,round_count,depth_max,frontier_pruned_count,hit_AB,hit_ABC,hit_ABY,hit_terminal_memory,hit_switch_memory,hit_distractor_memory
F02,wrong_seed_control,错误种子对照,2,DX,st_000062,1.01,memory:distractor,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F02,low_budget_control,低预算剪枝,1,A,st_000065,0.013,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F02,no_carry_control,无承接对照,1,A,st_000073,1.01,AB,AB,structure,st_000074,,1.01,1,0,1,1,0,1,0,0,0,0,0
F02,no_carry_control,无承接对照,2,A,st_000073,1.01,AB,AB,structure,st_000074,,1.01,1,0,1,1,0,1,0,0,0,0,0
F02,no_carry_control,无承接对照,3,A,st_000073,1.01,AB,AB,structure,st_000074,,1.01,1,0,1,1,0,1,0,0,0,0,0
F02,branch_switch,权重转向,1,A,st_000081,1.01,AB,AB,structure,st_000082,,1.01,1,0,1,1,0,1,0,0,0,0,0
F02,branch_switch,权重转向,2,AB,st_000082,1.01,ABY,ABY,structure,st_000087,,0.64026786,2,0,1,1,0,0,1,1,0,0,0
F02,branch_switch,权重转向,3,ABY,st_000087,1.01,memory:switch,memory:switch,memory,st_000088,em_000033,1.01,1,1,1,1,0,0,0,0,0,1,0
F02,terminal_stop,终端停止,1,A,st_000089,1.01,AB,AB,structure,st_000090,,1.01,1,0,1,1,0,1,0,0,0,0,0
F02,terminal_stop,终端停止,2,AB,st_000090,1.01,ABC,ABC,structure,st_000091,,0.64026786,2,0,1,1,0,0,1,1,0,0,0
F02,terminal_stop,终端停止,3,ABC,st_000091,1.01,memory:terminal,memory:terminal,memory,st_000092,em_000034,1.01,1,1,1,1,0,0,0,0,1,0,0
F02,terminal_stop,终端停止,4,ABCD,st_000092,1.01,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F03,chain_follow,连续承接,1,A,st_000097,1.02,AB,AB,structure,st_000098,,1.02,1,0,1,1,0,1,0,0,0,0,0
F03,chain_follow,连续承接,2,AB,st_000098,1.02,ABC,ABC,structure,st_000099,,0.6375,2,0,1,1,0,0,1,1,0,0,0
F03,chain_follow,连续承接,3,ABC,st_000099,1.02,memory:terminal,memory:terminal,memory,st_000100,em_000037,1.02,1,1,1,1,0,0,0,0,1,0,0
F03,wrong_seed_control,错误种子对照,1,D,st_000109,1.02,DX,memory:distractor,memory,st_000110,em_000041,1.02,1,1,1,1,0,0,0,0,0,0,1
F03,wrong_seed_control,错误种子对照,2,DX,st_000110,1.02,memory:distractor,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F03,low_budget_control,低预算剪枝,1,A,st_000113,0.014,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F03,no_carry_control,无承接对照,1,A,st_000121,1.02,AB,AB,structure,st_000122,,1.02,1,0,1,1,0,1,0,0,0,0,0
F03,no_carry_control,无承接对照,2,A,st_000121,1.02,AB,AB,structure,st_000122,,1.02,1,0,1,1,0,1,0,0,0,0,0
F03,no_carry_control,无承接对照,3,A,st_000121,1.02,AB,AB,structure,st_000122,,1.02,1,0,1,1,0,1,0,0,0,0,0
