family,branch,prior_cp_abs,second_cp_abs,second_grasp_score,second_core_complexity_score,second_punish_state,baseline_pair_ready,has_relief,has_correct_event,has_reassurance,has_complexity,has_simplicity,relief_strength,correct_event_strength,reassurance_strength,bind_reward_signal,bind_cfs_correctness,bind_cfs_reassurance,action_focus_triggered,direct_da_delta,direct_ser_delta,direct_oxy_delta,direct_end_delta,direct_cor_delta,direct_adr_delta,attrs,actions,nt_correct_da_positive,nt_correct_oxy_positive,nt_correct_ser_positive,nt_correct_foc_positive,nt_correct_da_delta,nt_correct_oxy_delta,nt_correct_ser_delta,nt_correct_foc_delta,nt_relief_end_positive,nt_relief_ser_positive,nt_relief_oxy_positive,nt_relief_cor_negative,nt_relief_adr_negative,nt_relief_end_delta,nt_relief_ser_delta,nt_relief_oxy_delta,nt_relief_cor_delta,nt_relief_adr_delta,nt_reassure_ser_positive,nt_reassure_oxy_positive,nt_reassure_end_positive,nt_reassure_da_positive,nt_reassure_foc_positive,nt_reassure_cor_negative,nt_reassure_adr_negative,nt_reassure_ser_delta,nt_reassure_oxy_delta,nt_reassure_end_delta,nt_reassure_da_delta,nt_reassure_foc_delta,nt_reassure_cor_delta,nt_reassure_adr_delta
F02,reassurance_block_high_punish,1.22,0.28,0.52,0.24,0.72,1,0,1,0,1,0,0.0,0.77714286,0.0,1,1,0,1,0.09325714,0.03885714,0.05497143,0.036,0.0606,0.0318,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.09325714,0.06217143,0.03885714,0.02331429,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F02,reassurance_block_low_grasp,1.22,0.28,0.12,0.24,0.16,1,1,1,0,1,0,0.24,0.77714286,0.0,1,1,0,1,0.09325714,0.04965714,0.06657143,0.0248,0.0062,0.0034,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.09325714,0.06217143,0.03885714,0.02331429,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F02,reassurance_on,1.22,0.28,0.52,0.24,0.16,1,1,1,1,1,1,0.24,0.77714286,0.604,1,1,1,1,0.11515714,0.09949714,0.09677143,0.05482,-0.02174,-0.01378,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_reassurance|cfs_relief|cfs_simplicity|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.09325714,0.06217143,0.03885714,0.02331429,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,1,1,1,1,1,1,1,0.03624,0.0302,0.01812,0.0151,0.01208,-0.02114,-0.01208
F02,relief_only,1.22,0.52,0.0,0.52,0.12,1,1,0,0,0,0,0.24,0.0,0.0,0,0,0,0,0.0,0.0108,0.0048,0.0228,0.0,-0.0012,cfs_complexity|cfs_dissonance|cfs_relief,,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F03,correct_event_block_current_cp,1.26,0.8,0.0,0.52,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,cfs_complexity|cfs_dissonance,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F03,correct_event_on,1.26,0.3,0.0,0.52,0.0,1,1,1,0,0,0,0.24,0.79428571,0.0,1,1,0,1,0.09531429,0.05051429,0.06954286,0.0168,-0.0096,-0.006,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.09531429,0.06354286,0.03971429,0.02382857,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F03,reassurance_block_high_complexity,1.26,0.26,0.56,0.46,0.2,1,1,1,0,1,0,0.24,0.82857143,0.0,1,1,0,1,0.09942857,0.05222857,0.07028571,0.0268,0.01317143,0.00877143,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.09942857,0.06628571,0.04142857,0.02485714,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F03,reassurance_block_high_punish,1.26,0.26,0.56,0.18,0.72,1,0,1,0,1,0,0.0,0.82857143,0.0,1,1,0,1,0.09942857,0.04142857,0.05908571,0.036,0.0606,0.0318,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.09942857,0.06628571,0.04142857,0.02485714,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F03,reassurance_block_low_grasp,1.26,0.26,0.12,0.18,0.2,1,1,1,0,1,0,0.24,0.82857143,0.0,1,1,0,1,0.09942857,0.05222857,0.07028571,0.0268,0.0094,0.005,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.09942857,0.06628571,0.04142857,0.02485714,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F03,reassurance_on,1.26,0.26,0.56,0.18,0.2,1,1,1,1,1,1,0.24,0.82857143,0.66307692,1,1,1,1,0.12520549,0.11041319,0.10343956,0.06279231,-0.02300769,-0.01516154,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_reassurance|cfs_relief|cfs_simplicity|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.09942857,0.06628571,0.04142857,0.02485714,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,1,1,1,1,1,1,1,0.03978462,0.03315385,0.01989231,0.01657692,0.01326154,-0.02320769,-0.01326154
